rank,score,filename,path,categories,toposheet
1,32,AMSE-7829.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B07/Report Geology/AMSE-7829/AMSE-7829.pdf,greenstone_framework|structural_control|deposit_footprint|metallogenic_episode,57B
2,30,AMSE-7777.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B04/Non Georeference & other/AMSE-7777/AMSE-7777.pdf,greenstone_framework|structural_control|deposit_footprint|metallogenic_episode,57B
3,30,AMSE-7777.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B12/Report Geology/AMSE-7777/AMSE-7777.pdf,greenstone_framework|structural_control|deposit_footprint|metallogenic_episode,57B
4,30,AMSE-7777.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B16/Non Georeference & other/AMSE-7777/AMSE-7777.pdf,greenstone_framework|structural_control|deposit_footprint|metallogenic_episode,57B
5,30,AMSE-7777.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B11/Report Geology/AMSE-7777/AMSE-7777.pdf,greenstone_framework|structural_control|deposit_footprint|metallogenic_episode,57B
6,30,AMSE-7777.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B15/Non Georeference & other/AMSE-7777/AMSE-7777.pdf,greenstone_framework|structural_control|deposit_footprint|metallogenic_episode,57B
7,30,AMSE-7777.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B08/Report Geology/AMSE-7777/AMSE-7777.pdf,greenstone_framework|structural_control|deposit_footprint|metallogenic_episode,57B
8,29,AMSE_7777_2004_2006_REPORT_1.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B04/Non Georeference & other/AMSE-7777/AMSE_7777_2004_2006_REPORT_1.pdf,greenstone_framework|structural_control|metallogenic_episode,57B
9,29,AMSE_7777_2004_2006_REPORT_1.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B12/Report Geology/AMSE-7777/AMSE_7777_2004_2006_REPORT_1.pdf,greenstone_framework|structural_control|metallogenic_episode,57B
10,29,AMSE_7777_2004_2006_REPORT_1.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B16/Non Georeference & other/AMSE-7777/AMSE_7777_2004_2006_REPORT_1.pdf,greenstone_framework|structural_control|metallogenic_episode,57B
11,29,AMSE_7777_2004_2006_REPORT_1.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B11/Report Geology/AMSE-7777/AMSE_7777_2004_2006_REPORT_1.pdf,greenstone_framework|structural_control|metallogenic_episode,57B
12,29,Copy of AMSE_7777_2004_2006_REPORT_1.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B11/Report Geology/AMSE-7777/Copy of AMSE_7777_2004_2006_REPORT_1.pdf,greenstone_framework|structural_control|metallogenic_episode,57B
